Kedarnath Temple (Kedarguda) | Kedarguda |  | maharashtra.js
Nagreshwar Mandir (Khadakpura) | Khadakpura |  | maharashtra.js
Panchmukhi Mahadev Mandir (Degloor) | Degloor |  | maharashtra.js
Ancient Chalukya era Shri Anandeshwar Temple (Lasur) | Lasur |  | maharashtra.js
Shri Gadgadeshwar Mandir (Amravati City) | Amravati |  | maharashtra.js
Satidham Temple | Amravati |  | maharashtra.js
Gavhan Kund Shiv Mandir (Jarud) | Jarud |  | maharashtra.js
Kailash Ashram Shiv Mandir (Kurli) | Kurli |  | maharashtra.js
Shiv Shakti Mandir (Shivaji Nagar) | Amravati |  | maharashtra.js
Sheshnag Mahadev Mandir (Virar) | Virar |  | maharashtra.js
Barfeshwar Mahadev Temple (Virar) | Virar |  | maharashtra.js
Aatmalingeswar Mahadev Mandir (Shivansai) | Shivansai |  | maharashtra.js
Nagnath Shiv Temple (Manor) | Manor |  | maharashtra.js
Pimpleshwar Shiv Temple (Virar) | Virar |  | maharashtra.js
Shri Shitladevi Temple Shiva Shrine (Kelwa) | Kelwa |  | maharashtra.js
Pujeshwar Mahadev Mandir (Dhundalwadi) | Dhundalwadi |  | maharashtra.js
Shri Koteshwar Temple (Satephal) | Satephal |  | maharashtra.js
MAHADEV PURA Mandir (Wardha City) | Wardha |  | maharashtra.js
Ancient Shiv Mandir (Dhaga) | Dhaga |  | maharashtra.js
Shri Narmadeshwar Shiv Mandir (Arvi Road) | Wardha |  | maharashtra.js
Shiv Mandir, Shivnagri (Sawangi Meghe) | Sawangi Meghe |  | maharashtra.js
Kapileshwardham Bholenath Mandir (Ashti) | Ashti |  | maharashtra.js
Vishaveshvar Mahadev Temple (Lonsawali/Pulgaon) | Pulgaon |  | maharashtra.js
Mishraji Shivling Mandir (Seloo) | Seloo |  | maharashtra.js
Shree Someshwar Mahadev Mandir (Sindi) | Sindi |  | maharashtra.js
Shri Trimbakeshwar Temple (Sevagram Road) | Wardha |  | maharashtra.js
Panchmukhi Mahadev Mandir (Wardha) | Wardha |  | maharashtra.js
Mahadev Mandir, Rajebag (Dharashiv City) | Dharashiv |  | maharashtra.js
Ghat Shila Temple (Tuljapur) | Tuljapur |  | maharashtra.js
Shree Kshetra Kapileshwar Mandir (Mudawad) | Mudawad |  | maharashtra.js
Gajanan Maharaj Mandir Shiva Shrine (Om Nagar) | Dhule |  | maharashtra.js
Shree Panjhareshwar Mahadev (Deopur) | Deopur |  | maharashtra.js
Nilkantheshwar Shiv Temple (Ramchandra Nagar) | Dhule |  | maharashtra.js
Shri Shiv Mandir (SRPF Colony) | Dhule |  | maharashtra.js
Ekveera Devi Temple Shiva Shrine (Deopur) | Deopur |  | maharashtra.js
Jamnagiri Mahadev Mandir (Old Dhule) | Dhule |  | maharashtra.js
Kaleshwari Mandir (Dhule-Moghan Road) | Dhule |  | maharashtra.js
Mangleshwar Mahadev Mandir (Dahivad) | Dahivad |  | maharashtra.js
Gangeshwar Mahadev Temple (Chinchkhede) | Chinchkhede |  | maharashtra.js
Shri Gupteshwar Mahadev Mandir (Agra Road) | Dhule |  | maharashtra.js
Kedareshwar Mahakal Mandir (Gondur) | Gondur |  | maharashtra.js
Budhaneshwar Temple (Madh) | Madh |  | maharashtra.js
Ancient Chalukya Shri Shiva Temple (Sakegaon) | Sakegaon |  | maharashtra.js
Koleshwar Mahadev Mandir (Rohinkhed) | Rohinkhed |  | maharashtra.js
Gautameshwar Sansthan Mahadev Mandir (Gomedhar) | Gomedhar |  | maharashtra.js
Papahareshwar Temple (Lonar) | Lonar |  | maharashtra.js
Andhera Mahadeo Mandir (Chikhli) | Chikhli |  | maharashtra.js
Panchmukhi Mahadev Mandir (Chikhli) | Chikhli |  | maharashtra.js
Dhupeshwar Mahadev Temple (Harsoda) | Harsoda |  | maharashtra.js
Kotheshwar Mahadev Mandir (Narvel) | Narvel |  | maharashtra.js
Suryamukhi Shivmandir (Matla) | Matla |  | maharashtra.js
Mungla Mahadev Temple (Lonar) | Lonar |  | maharashtra.js
Chopda Mahadev Temple (Lonar) | Lonar |  | maharashtra.js
Madhyameshwar Temple (Saudagar Pura, Washim) | Washim |  | maharashtra.js
Shri Satteshwar Mahadev Temple (Washim) | Washim |  | maharashtra.js
Nagnath Mahadev Mandir (Washim) | Washim |  | maharashtra.js
Nileshwar Mahadev Mandir (Gondeshwar) | Gondeshwar |  | maharashtra.js
Krushneshwar Mahadev Temple (Ukalipen) | Ukalipen |  | maharashtra.js
Shree Jhuleshwar Mahadev Mandir (Sindhi Camp, Washim) | Washim |  | maharashtra.js
Pimpleshwar Mahadev Mandir (Mangrulpir) | Mangrulpir |  | maharashtra.js
Karuneshwar Mandir (Ganesh Peth, Washim) | Washim |  | maharashtra.js
Kumareshwar Mahadev Temple (Mop, Risod) | Risod |  | maharashtra.js
